Question,1,2,3,4,5,N
4.4.1,2,6,7,0,0,15
4.4.2,0,13,2,0,0,15
4.4.3,1,10,4,0,0,15
4.4.4,2,6,6,1,0,15
6.5.1,7,3,4,1,0,15
6.5.3,6,8,1,0,0,15
